bandages	-12.113480
bandit	-9.810895
bang	-10.167570
banging	-11.420333
banisters	-11.420333
bank	-10.321721
banker	-10.727186
banking	-12.113480
banks	-11.014868
banquet	-11.420333
bap	-12.113480
baptism	-12.113480
baptist	-12.113480
baptists	-12.113480
bar	-10.727186
barb	-12.113480
barbara	-11.420333
barbecue	-12.113480
barbecuing	-12.113480
barber	-12.113480
barbie-head	-11.420333
bare	-12.113480
barefoot	-12.113480
barefooted	-12.113480
barely	-11.420333
barking	-11.420333
barn	-9.715585
barrels	-12.113480
bars	-10.504042
barsley	-12.113480
bas	-12.113480
base	-9.916256
baseball	-8.894604
baseballs	-12.113480
based	-9.340892
basement	-11.014868
basic	-10.034039
basically	-7.986346
basis	-10.167570
basket	-10.504042
basketball	-9.223109
baskin-robbins	-12.113480
bastards	-11.420333
bath	-10.321721
bathed	-12.113480
bathing	-11.420333
bathroom	-9.628574
bathrooms	-11.420333
batman	-10.504042
battalions	-12.113480
battered	-12.113480
battery	-10.727186
battle	-11.420333
battles	-11.014868
battleships	-12.113480
bay	-12.113480
bayside	-12.113480
bazooka	-11.014868
bazookas	-11.420333
bb	-11.420333
bc	-12.113480
be	-5.716551
beach	-7.836814
beaches	-12.113480
beads	-12.113480
beam	-12.113480
beans	-10.167570
bear	-9.810895
beard	-12.113480
beards	-12.113480
beared	-12.113480
bearings	-12.113480
bears	-11.420333
beasts	-12.113480
beat	-9.223109
beating	-11.420333
beatings	-12.113480
beats	-12.113480
beatties	-12.113480
beautician	-11.014868
beautiful	-8.424601
beautifully	-12.113480
beauty	-10.321721
beaver	-10.321721
beavers	-11.014868
bebe	-9.810895
became	-8.306818
because	-5.447797
become	-8.894604
becomes	-10.727186
becoming	-10.321721
bed	-8.306818
bedcovers	-12.113480
bedroom	-8.781276
bedrooms	-11.014868
beds	-10.321721
bedtime	-10.167570
bee	-12.113480
beef	-11.014868
beelines	-12.113480
been	-6.475126
beep	-12.113480
beer	-10.034039
beers	-12.113480
bees	-12.113480
beet	-12.113480
beetle	-11.420333
beetles	-12.113480
beets	-10.727186
before	-7.150636
beforehand	-12.113480
began	-9.628574
begging	-10.167570
begin	-9.810895
beginning	-9.474423
begun	-12.113480
behaving	-12.113480
behavior	-11.420333
behaviors	-12.113480
behind	-8.143188
behold	-10.321721
beige	-12.113480
being	-6.926094
beings	-12.113480
belgium	-11.420333
believe	-8.002606
believed	-10.167570
believes	-11.420333
believing	-12.113480
belk's	-12.113480
bell	-10.167570
belle	-11.420333
belly	-11.420333
belmont	-11.014868
belonged	-10.727186
below	-10.504042
belt	-10.321721
belt's	-12.113480
belts	-12.113480
beltway	-12.113480
bench	-12.113480
benchmark	-12.113480
bend	-10.321721
bending	-12.113480
bends	-12.113480
beneath	-12.113480
beneficial	-11.420333
benefit	-12.113480
benefits	-12.113480
benford	-12.113480
benihana	-12.113480
benning	-12.113480
bent	-11.014868
berenstain	-12.113480
beret	-11.420333
berries	-12.113480
berry	-11.420333
berryhill	-10.504042
beside	-10.167570
besides	-10.321721
best	-7.836814
best-seller	-12.113480
best-types	-12.113480
bet	-9.474423
betrayed	-12.113480
better	-8.106147
betty	-11.420333
between	-8.449919
beverly	-12.113480
beyond	-10.321721
bhb	-10.727186
bhd	-12.113480
bible	-9.340892
bibs	-12.113480
bicycle	-10.321721
bicycles	-10.727186
bidder	-11.420333
biddies	-12.113480
big	-6.675401
bigger	-9.810895
biggest	-10.504042
bigot	-12.113480
bike	-10.034039
bikes	-10.034039
biking	-12.113480
bile	-12.113480
bill	-11.014868
billboard	-11.420333
billboards	-12.113480
billiards	-12.113480
billing's	-12.113480
bills	-12.113480
billy	-11.014868
biltmore	-12.113480
binchy	-12.113480
binding	-11.420333
biographical	-12.113480
biographies	-11.014868
biography	-10.504042
bird	-9.715585
birds	-10.727186
birmingham	-12.113480
birth	-10.167570
birthday	-10.034039
birthdays	-12.113480
birthmark	-10.727186
biscuits	-12.113480
bit	-7.809415
bitches	-12.113480
bite	-11.014868
bits	-11.014868
bitten	-12.113480
bitter	-12.113480
bitterness	-12.113480
bitty	-11.420333
bizarre	-12.113480
bjbj�=�=	-12.113480
black	-7.559603
blackberries	-12.113480
blackbird	-11.420333
blackmail	-12.113480
blackness	-12.113480
blackout	-12.113480
blacks	-10.727186
blackwelder's	-12.113480
blade	-11.420333
blades	-10.504042
blanchard	-12.113480
blank	-12.113480
blankenships	-11.420333
blanket	-11.014868
blankets	-12.113480
blast	-10.321721
bleach	-10.727186
bleachers	-12.113480
bleeding	-11.014868
blend	-11.420333
bless	-12.113480
blessed	-11.420333
blessing	-11.014868
blew	-11.420333
blind	-11.420333
blindfold	-12.113480
blinds	-11.420333
blistering	-12.113480
blizzard	-12.113480
block	-11.014868
blockaded	-12.113480
blocked	-12.113480
blocks	-10.321721
blond	-11.420333
blond-haired	-12.113480
blood	-9.916256
bloody	-12.113480
blooming	-12.113480
bloomingdale's	-12.113480
bloop	-12.113480
blouses	-12.113480
blow	-10.504042
blowing	-12.113480
blown	-10.504042
blue	-9.169041
blunts	-12.113480
blvd	-10.167570
board	-10.034039
boards	-10.321721
boardwalk	-12.113480
boardwalks	-12.113480
boat	-9.810895
boats	-10.504042
bob	-10.727186
bobby	-11.014868
boca	-11.014868
bodies	-12.113480
body	-10.321721
body]	-12.113480
boiled	-11.014868
boiling	-12.113480
boisterous	-12.113480
bolted	-10.504042
bomb	-10.504042
bombs	-10.727186
bonanza	-11.014868
bond	-10.727186
bonded	-12.113480
bonding	-12.113480
bone	-11.014868
bonfire	-11.420333
bonnie	-11.420333
bonnie's	-12.113480
book	-7.171838
booked	-12.113480
booking	-11.420333
bookkeeper	-12.113480
booklet	-12.113480
books	-6.845622
bookshelf	-12.113480
bookshelves	-11.420333
bookstore	-12.113480
boom	-11.014868
boon	-12.113480
boone	-12.113480
boot	-12.113480
bootleg	-12.113480
bootlegger	-11.420333
bootlegging	-11.420333
boots	-10.504042
borden	-10.727186
border	-12.113480
bored	-12.113480
borel	-10.504042
boring	-12.113480
born	-7.682663
borough	-12.113480
borrowed	-12.113480
borrowing	-12.113480
boss	-11.420333
boston	-9.810895
boston's	-12.113480
both	-7.498360
bother	-9.628574
bothered	-10.727186
bothers	-12.113480
bottle	-10.321721
bottles	-11.014868
bottom	-9.628574
bottom's	-12.113480
bottoms	-11.014868
bought	-8.502562
boulder	-12.113480
bounce	-12.113480
bounced	-11.420333
bouncing	-11.014868
bound	-12.113480
boundaries	-12.113480
boundary	-12.113480
bout	-12.113480
bow	-11.420333
bowie	-12.113480
bowl	-11.014868
bowling	-10.727186
box	-9.405430
boxcar	-12.113480
boxed	-11.420333
boxes	-10.167570
boy	-8.035943
boy's	-11.420333
boyfriend	-10.034039
boyfriends	-10.727186
boys	-8.263333
bp	-10.727186
bracelet	-12.113480
brad	-12.113480
bradenton	-12.113480
brady	-12.113480
bragg	-9.916256
braid	-12.113480
brain	-10.727186
brainstorm	-12.113480
braise	-12.113480
brakes	-11.420333
branch	-12.113480
branches	-10.034039
brand	-10.504042
brandon	-12.113480
brass	-12.113480
brat	-11.420333
bratty	-12.113480
brave	-12.113480
bread	-9.628574
bread's	-12.113480
breads	-12.113480
break	-8.894604
breakfast	-10.034039
breaking	-11.420333
breakthrough	-12.113480
breast	-11.420333
breath	-12.113480
breathe	-11.014868
breathing	-10.034039
bred	-11.420333
breeze	-11.420333
brian	-10.504042
brian's	-12.113480
briarwood	-12.113480
bribed	-12.113480
brick	-10.321721
bridge	-9.810895
bridges	-12.113480
brief	-10.504042
briefly	-11.014868
bright	-9.810895
brighter	-11.420333
brights	-12.113480
brilliant	-11.420333
bring	-8.712283
bringing	-12.113480
brings	-10.167570
brit	-12.113480
british	-11.014868
britney	-12.113480
brittney	-12.113480
bro	-12.113480
broad	-10.727186
broadening	-12.113480
broadway	-12.113480
broke	-9.715585
broken	-9.405430
brokenness	-12.113480
bronx	-12.113480
brooklyn	-10.321721
brother	-7.591692
brother's	-10.321721
brother-in-law	-10.727186
brothers	-8.502562
brought	-8.855384
brown	-10.321721
browntown	-12.113480
bruce	-12.113480
bruise	-12.113480
brush	-12.113480
brushing	-12.113480
bs	-12.113480
bubba	-11.420333
bubble	-12.113480
buck	-12.113480
bucket	-12.113480
buckets	-12.113480
buckhannon	-9.628574
bucking	-12.113480
buckled	-12.113480
buckles	-12.113480
bucks	-11.014868
bucky	-12.113480
buddhist	-11.420333
buddies	-10.727186
buddy	-11.014868
budget	-12.113480
buffalo	-11.420333
buffet	-12.113480
buffy	-11.420333
bug	-12.113480
bugging	-11.420333
bugs	-10.504042
build	-9.223109
builder	-11.420333
building	-8.977986
buildings	-10.321721
builds	-12.113480
built	-8.616973
bujane	-12.113480
